S.No,"Part No","Part Name"
601,"BR 1705","Gear Shaft 25 x 1123"
602,"BR 1705","Gear Shaft Dia 30 x 1126"
603,"BR 1705","A Gear Shaft 30 x 1240"
604,"BR 1704","Loader Shaft 30.5 x 1146"
605,"BR 1704","A Loader Shaft 30.5 x 1262"
606,"BR 2099","Shaping Plate Bolt M8 x 20mm"
607,"BR 1056","4 Step Sprocket 30 Dia"
608,"BC 1001","Blade Plate Assy"
609,"BC 1002","Pto Cover Assy"
610,"BC 1003","Blade Cover Assy"
611,"BC 1004","Frame Full Assy"
612,"BC 1005","Blade Front Cover Assy"
613,"BC 1006","Side Depth Skid"
614,"BC 1007","Blade Cover Back Assy"
615,"BC 1008","Knife Guard Cap"
616,"BC 1101","Stopper Guard"
617,"BC 1102","Lock  Pin"
618,"BC 1103","Hnad Pin"
619,"BC 1104","PTO Shaft"
620,"BC 1106","Top Link Patta B"
621,"BC 1107",Knife
622,"BC 1108","Top Link Patta C"
623,"BC 8215","Round Plate Bush"
624,"BC 9101","Main Frame C-Clamp"
625,"BC 9116","Pto Cover"
626,"BC 9117","Knife Rotary Bush"
627,"BC 9117","Knife Roundary 8 Teeth"
628,"BC 9117","Shaft Bush"
629,"BC 9119","Support Back Frame"
630,"BC 9120","Back Frame"
631,"BC 9122","Knife Guard"
632,"BC 9127","Knife Plate Ring"
633,"JSS 1510","M12 X 45MM"
634,"JSS 1712","M16 X 65MM"
635,"JSS 2008","M20 X 55 MM"
636,"JSS 2009","M20 X 60MM"
637,"BC 9133","Top Link Stay A"
638,"BC 9136","Knife Waser"
639,"BC 9139","Blade Main Cover"
640,"Bearing 21312",NBC
641,"Bearing 22208",NBC
642,"Bearing 32208",NBC
643,"Bearing 32209",NBC
644,"Bearing 32209",Texpin
645,"Bearing 6208",2RS
646,"Bearing 6209",2RS
647,"Bending Machine",
648,"Bending Machine",Tool
649,"BM 8214","Rotary Plate"
650,"BM Left","Side Support Plate"
651,"BMP 1013",Knife
652,"BMP 2501",Blade
653,"BM Rolling","Patta (Vertical)"
654,"BR 9120","Gujet Small"
655,"BR 9002","Main Roller Shaft 3.5F"
656,"BR 1031","Roller Bush Small CS 206"
657,"Roller Pipe",3.5F
658,"BR 9018","Square Stipner 3.5F"
